1,SFPC007,deltazarashi,10,07/16/20 08:50:26,07/16/20 10:46:20,  1:55:54
2,SFPC007,okakita,10,06/17/20 13:35:22,06/17/20 16:06:07,  2:30:45
3,SFPC007,yukakawamoto,10,07/16/20 08:44:57,07/16/20 11:39:48,  2:54:51
4,SFPC007,RinkaSasagawa,10,07/16/20 08:53:00,07/16/20 11:57:30,  3:04:30
5,SFPC007,loveflower,10,06/17/20 10:22:00,06/17/20 14:45:47,  4:23:47
6,SFPC007,ZatoZatoYuki,10,07/15/20 10:05:20,07/15/20 14:43:26,  4:38:06
7,SFPC007,yanai,10,06/17/20 09:18:18,06/17/20 14:50:25,  5:32:07
8,SFPC007,yuichiyoshida,10,07/15/20 08:53:42,07/15/20 14:30:32,  5:36:50
9,SFPC007,takanoyuto,10,07/16/20 09:04:36,07/16/20 14:57:40,  5:53:04
10,SFPC007,hosonuma,10,07/16/20 09:02:21,07/16/20 15:07:52,  6:05:31
11,SFPC007,KanaeTsukimitsu,10,07/15/20 08:55:36,07/15/20 15:48:18,  6:52:42
12,SFPC007,namba1997,9,07/15/20 08:51:20,07/15/20 10:28:00,  1:36:40
13,SFPC007,NakatsukaMomoka,9,07/16/20 09:01:48,07/16/20 11:07:30,  2:05:42
14,SFPC007,ShuHONDA,9,06/16/20 23:54:06,06/17/20 15:15:11, 15:21:05
1,SFPC008,namba1997,10,07/17/20 08:45:16,07/17/20 10:52:29,  2:07:13
2,SFPC008,loveflower,10,06/19/20 09:03:41,06/19/20 11:32:00,  2:28:19
3,SFPC008,deltazarashi,10,07/20/20 08:49:03,07/20/20 11:20:59,  2:31:56
4,SFPC008,RinkaSasagawa,10,07/20/20 08:50:03,07/20/20 11:34:31,  2:44:28
5,SFPC008,yukakawamoto,10,07/20/20 08:50:36,07/20/20 12:17:32,  3:26:56
6,SFPC008,NakatsukaMomoka,10,07/20/20 08:44:47,07/20/20 13:29:58,  4:45:11
7,SFPC008,takanoyuto,10,07/20/20 08:51:13,07/20/20 14:35:06,  5:43:53
8,SFPC008,ZatoZatoYuki,10,07/17/20 09:07:27,07/17/20 16:13:13,  7:05:46
9,SFPC008,hosonuma,10,07/20/20 08:40:51,07/20/20 15:54:53,  7:14:02
10,SFPC008,yanai,10,06/19/20 09:05:00,06/19/20 17:05:42,  8:00:42
11,SFPC008,yuichiyoshida,10,07/17/20 08:47:38,07/17/20 16:49:19,  8:01:41
12,SFPC008,ShuHONDA,10,06/19/20 02:02:26,06/19/20 16:28:49, 14:26:23
13,SFPC008,KanaeTsukimitsu,9,07/17/20 08:44:15,07/17/20 15:12:34,  6:28:19
14,SFPC008,okakita,0,01/01/70 09:00:00,01/01/70 09:00:00,  0:00:00
1,SFPC009,deltazarashi,10,07/22/20 08:47:22,07/22/20 11:17:48,  2:30:26
2,SFPC009,namba1997,10,07/21/20 08:43:45,07/21/20 12:24:25,  3:40:40
3,SFPC009,RinkaSasagawa,10,07/22/20 08:51:47,07/22/20 13:45:29,  4:53:42
4,SFPC009,yukakawamoto,10,07/22/20 08:47:04,07/22/20 13:51:09,  5:04:05
5,SFPC009,loveflower,9,06/23/20 14:02:48,06/23/20 16:32:48,  2:30:00
6,SFPC009,ShuHONDA,9,06/22/20 23:07:51,06/23/20 03:13:37,  4:05:46
7,SFPC009,takanoyuto,9,07/22/20 09:06:45,07/22/20 14:46:51,  5:40:06
8,SFPC009,NakatsukaMomoka,9,07/22/20 10:02:12,07/22/20 16:04:46,  6:02:34
9,SFPC009,KanaeTsukimitsu,9,07/21/20 09:07:20,07/21/20 15:58:37,  6:51:17
10,SFPC009,yanai,9,06/23/20 09:40:59,06/23/20 17:04:18,  7:23:19
11,SFPC009,yuichiyoshida,8,07/21/20 08:58:44,07/21/20 16:15:58,  7:17:14
12,SFPC009,ZatoZatoYuki,6,07/21/20 10:07:43,07/21/20 15:55:51,  5:48:08
13,SFPC009,okakita,0,01/01/70 09:00:00,01/01/70 09:00:00,  0:00:00
14,SFPC009,hosonuma,0,01/01/70 09:00:00,01/01/70 09:00:00,  0:00:00
1,SFPC010,namba1997,10,07/29/20 08:42:41,07/29/20 11:19:32,  2:36:51
2,SFPC010,deltazarashi,10,07/30/20 09:07:22,07/30/20 11:50:52,  2:43:30
3,SFPC010,RinkaSasagawa,10,07/28/20 08:41:26,07/28/20 11:41:18,  2:59:52
4,SFPC010,yukakawamoto,10,07/28/20 08:43:14,07/28/20 14:28:51,  5:45:37
5,SFPC010,loveflower,10,06/25/20 09:29:11,06/25/20 15:40:47,  6:11:36
6,SFPC010,NakatsukaMomoka,10,07/28/20 08:43:56,07/28/20 15:11:09,  6:27:13
7,SFPC010,KanaeTsukimitsu,10,07/27/20 08:52:13,07/27/20 16:45:46,  7:53:33
8,SFPC010,takanoyuto,10,07/28/20 08:52:25,07/28/20 17:07:11,  8:14:46
9,SFPC010,okakita,9,06/25/20 11:38:35,06/25/20 15:33:06,  3:54:31
10,SFPC010,yanai,9,06/25/20 10:33:47,06/25/20 17:00:03,  6:26:16
11,SFPC010,ShuHONDA,9,06/25/20 00:57:52,06/25/20 15:21:54, 14:24:02
12,SFPC010,hosonuma,8,07/30/20 08:49:41,07/30/20 15:33:15,  6:43:34
13,SFPC010,yuichiyoshida,8,07/27/20 08:39:55,07/27/20 16:57:37,  8:17:42
14,SFPC010,ZatoZatoYuki,6,07/27/20 11:23:10,07/27/20 16:48:54,  5:25:44
1,SFPC011,RinkaSasagawa,10,07/30/20 08:39:27,07/30/20 14:00:36,  5:21:09
2,SFPC011,yukakawamoto,10,07/30/20 08:40:18,07/30/20 14:55:58,  6:15:40
3,SFPC011,NakatsukaMomoka,10,07/30/20 08:40:16,07/30/20 15:01:11,  6:20:55
4,SFPC011,yuichiyoshida,10,07/29/20 08:08:14,07/29/20 16:13:07,  8:04:53
5,SFPC011,KanaeTsukimitsu,10,07/29/20 09:11:02,07/29/20 17:17:18,  8:06:16
6,SFPC011,loveflower,10,06/29/20 09:33:22,06/29/20 17:52:41,  8:19:19
7,SFPC011,ZatoZatoYuki,10,07/29/20 10:18:29,07/29/20 19:51:31,  9:33:02
8,SFPC011,okakita,10,06/28/20 22:33:07,06/29/20 14:23:12, 15:50:05
9,SFPC011,yanai,10,06/29/20 09:16:41,07/01/20 14:18:36, 53:01:55
10,SFPC011,ShuHONDA,10,06/29/20 08:58:26,07/14/20 01:11:15,352:12:49
11,SFPC011,deltazarashi,9,07/30/20 14:03:23,07/30/20 18:30:18,  4:26:55
12,SFPC011,takanoyuto,9,07/30/20 08:43:44,07/30/20 15:52:53,  7:09:09
13,SFPC011,namba1997,9,08/04/20 08:42:10,08/04/20 16:11:36,  7:29:26
14,SFPC011,hosonuma,9,08/03/20 08:55:02,08/03/20 16:54:02,  7:59:00
1,SFPC012,namba1997,11,08/06/20 10:29:05,08/06/20 11:54:52,  1:25:47
2,SFPC012,RinkaSasagawa,11,08/03/20 08:43:51,08/03/20 10:17:59,  1:34:08
3,SFPC012,deltazarashi,11,08/03/20 08:59:15,08/03/20 10:58:48,  1:59:33
4,SFPC012,yukakawamoto,11,08/03/20 08:42:42,08/03/20 11:00:24,  2:17:42
5,SFPC012,NakatsukaMomoka,11,08/03/20 08:41:46,08/03/20 11:21:45,  2:39:59
6,SFPC012,hosonuma,11,08/05/20 08:43:52,08/05/20 12:21:45,  3:37:53
7,SFPC012,yanai,11,07/01/20 08:48:45,07/01/20 13:21:13,  4:32:28
8,SFPC012,takanoyuto,11,08/03/20 08:49:31,08/03/20 14:05:36,  5:16:05
9,SFPC012,KanaeTsukimitsu,11,07/31/20 09:00:41,07/31/20 14:43:54,  5:43:13
10,SFPC012,yuichiyoshida,11,07/31/20 08:55:45,07/31/20 15:25:45,  6:30:00
11,SFPC012,loveflower,11,07/01/20 08:45:25,07/01/20 16:00:28,  7:15:03
12,SFPC012,ShuHONDA,11,06/30/20 22:06:38,07/01/20 10:11:06, 12:04:28
13,SFPC012,okakita,11,06/30/20 22:33:11,07/01/20 15:15:31, 16:42:20
14,SFPC012,ZatoZatoYuki,0,01/01/70 09:00:00,01/01/70 09:00:00,  0:00:00
1,SFPC013,RinkaSasagawa,10,08/05/20 08:39:17,08/05/20 13:30:26,  4:51:09
2,SFPC013,KanaeTsukimitsu,10,08/04/20 09:25:57,08/04/20 15:21:04,  5:55:07
3,SFPC013,yukakawamoto,10,08/05/20 08:33:10,08/05/20 14:56:46,  6:23:36
4,SFPC013,yuichiyoshida,10,08/04/20 08:50:55,08/04/20 15:25:27,  6:34:32
5,SFPC013,takanoyuto,10,08/05/20 08:47:50,08/05/20 16:38:30,  7:50:40
6,SFPC013,deltazarashi,10,08/05/20 08:49:58,08/05/20 17:47:40,  8:57:42
7,SFPC013,NakatsukaMomoka,10,08/05/20 08:40:10,08/05/20 18:07:22,  9:27:12
8,SFPC013,loveflower,10,07/03/20 08:57:23,07/03/20 18:30:35,  9:33:12
9,SFPC013,ShuHONDA,10,07/02/20 22:57:10,07/03/20 11:02:42, 12:05:32
10,SFPC013,okakita,10,07/02/20 22:24:27,07/03/20 18:26:49, 20:02:22
11,SFPC013,yanai,10,07/03/20 08:50:39,07/09/20 15:55:28,151:04:49
12,SFPC013,namba1997,9,08/06/20 13:08:19,08/06/20 16:30:05,  3:21:46
13,SFPC013,hosonuma,9,08/07/20 08:43:22,08/07/20 16:57:24,  8:14:02
14,SFPC013,ZatoZatoYuki,0,01/01/70 09:00:00,01/01/70 09:00:00,  0:00:00
1,SFPC014,NakatsukaMomoka,10,08/07/20 08:40:32,08/07/20 10:25:47,  1:45:15
2,SFPC014,yanai,10,07/07/20 09:06:51,07/07/20 10:56:09,  1:49:18
3,SFPC014,deltazarashi,10,08/07/20 08:41:05,08/07/20 10:55:19,  2:14:14
4,SFPC014,RinkaSasagawa,10,08/11/20 08:41:33,08/11/20 11:11:37,  2:30:04
5,SFPC014,takanoyuto,10,08/07/20 08:46:09,08/07/20 11:30:53,  2:44:44
6,SFPC014,yuichiyoshida,10,08/06/20 08:45:40,08/06/20 13:01:24,  4:15:44
7,SFPC014,KanaeTsukimitsu,10,08/06/20 09:09:29,08/06/20 13:49:09,  4:39:40
8,SFPC014,hosonuma,10,08/11/20 08:47:34,08/11/20 14:06:44,  5:19:10
9,SFPC014,ShuHONDA,10,07/07/20 07:53:39,07/07/20 16:26:37,  8:32:58
10,SFPC014,yukakawamoto,10,08/03/20 11:16:15,08/06/20 22:35:08, 83:18:53
11,SFPC014,okakita,10,07/07/20 19:06:14,07/13/20 18:11:24,143:05:10
12,SFPC014,loveflower,5,07/07/20 17:17:04,07/07/20 18:06:11,  0:49:07
13,SFPC014,ZatoZatoYuki,0,01/01/70 09:00:00,01/01/70 09:00:00,  0:00:00
14,SFPC014,namba1997,0,01/01/70 09:00:00,01/01/70 09:00:00,  0:00:00
1,SFPC015,RinkaSasagawa,10,08/11/20 12:02:37,08/17/20 14:40:25,146:37:48
2,SFPC015,NakatsukaMomoka,8,08/11/20 08:40:19,08/11/20 12:04:09,  3:23:50
3,SFPC015,deltazarashi,8,08/07/20 13:48:10,08/07/20 17:51:53,  4:03:43
4,SFPC015,takanoyuto,8,08/11/20 08:41:33,08/11/20 13:54:26,  5:12:53
5,SFPC015,yukakawamoto,7,08/13/20 08:40:13,08/13/20 13:41:47,  5:01:34
6,SFPC015,yanai,7,07/09/20 10:05:08,07/09/20 15:55:28,  5:50:20
7,SFPC015,ShuHONDA,7,07/09/20 02:15:17,07/09/20 08:38:00,  6:22:43
8,SFPC015,loveflower,7,07/09/20 17:56:03,07/10/20 20:11:30, 26:15:27
9,SFPC015,hosonuma,6,08/11/20 15:19:58,08/13/20 12:46:32, 45:26:34
10,SFPC015,okakita,0,01/01/70 09:00:00,01/01/70 09:00:00,  0:00:00
11,SFPC015,ZatoZatoYuki,0,01/01/70 09:00:00,01/01/70 09:00:00,  0:00:00
12,SFPC015,namba1997,0,01/01/70 09:00:00,01/01/70 09:00:00,  0:00:00
13,SFPC015,KanaeTsukimitsu,0,01/01/70 09:00:00,01/01/70 09:00:00,  0:00:00
14,SFPC015,yuichiyoshida,0,01/01/70 09:00:00,01/01/70 09:00:00,  0:00:00
1,SFPC016,RinkaSasagawa,10,08/17/20 08:41:21,08/17/20 12:56:06,  4:14:45
2,SFPC016,deltazarashi,10,08/11/20 10:38:06,08/11/20 14:57:16,  4:19:10
3,SFPC016,yukakawamoto,10,08/17/20 08:41:08,08/17/20 13:58:43,  5:17:35
4,SFPC016,takanoyuto,10,08/13/20 08:49:23,08/13/20 16:19:29,  7:30:06
5,SFPC016,hosonuma,9,08/17/20 08:58:41,08/17/20 15:05:51,  6:07:10
6,SFPC016,ShuHONDA,9,07/12/20 02:45:34,07/13/20 03:44:35, 24:59:01
7,SFPC016,NakatsukaMomoka,9,08/13/20 17:46:57,08/19/20 16:36:13,142:49:16
8,SFPC016,yanai,0,01/01/70 09:00:00,01/01/70 09:00:00,  0:00:00
9,SFPC016,loveflower,0,01/01/70 09:00:00,01/01/70 09:00:00,  0:00:00
10,SFPC016,okakita,0,01/01/70 09:00:00,01/01/70 09:00:00,  0:00:00
11,SFPC016,ZatoZatoYuki,0,01/01/70 09:00:00,01/01/70 09:00:00,  0:00:00
12,SFPC016,namba1997,0,01/01/70 09:00:00,01/01/70 09:00:00,  0:00:00
13,SFPC016,KanaeTsukimitsu,0,01/01/70 09:00:00,01/01/70 09:00:00,  0:00:00
14,SFPC016,yuichiyoshida,0,01/01/70 09:00:00,01/01/70 09:00:00,  0:00:00
1,SFPC017,deltazarashi,10,08/13/20 10:05:51,08/13/20 12:02:18,  1:56:27
2,SFPC017,yukakawamoto,10,08/19/20 08:11:56,08/19/20 12:32:48,  4:20:52
3,SFPC017,NakatsukaMomoka,10,08/19/20 08:40:06,08/19/20 14:24:57,  5:44:51
4,SFPC017,takanoyuto,10,08/17/20 09:05:01,08/17/20 15:00:45,  5:55:44
5,SFPC017,hosonuma,10,08/18/20 23:28:12,08/19/20 14:37:02, 15:08:50
6,SFPC017,ShuHONDA,10,07/15/20 00:38:43,07/15/20 19:42:06, 19:03:23
7,SFPC017,RinkaSasagawa,10,08/17/20 14:48:30,08/19/20 11:22:58, 44:34:28
8,SFPC017,yanai,0,01/01/70 09:00:00,01/01/70 09:00:00,  0:00:00
9,SFPC017,loveflower,0,01/01/70 09:00:00,01/01/70 09:00:00,  0:00:00
10,SFPC017,okakita,0,01/01/70 09:00:00,01/01/70 09:00:00,  0:00:00
11,SFPC017,ZatoZatoYuki,0,01/01/70 09:00:00,01/01/70 09:00:00,  0:00:00
12,SFPC017,namba1997,0,01/01/70 09:00:00,01/01/70 09:00:00,  0:00:00
13,SFPC017,KanaeTsukimitsu,0,01/01/70 09:00:00,01/01/70 09:00:00,  0:00:00
14,SFPC017,yuichiyoshida,0,01/01/70 09:00:00,01/01/70 09:00:00,  0:00:00
1,SFPC018,deltazarashi,10,08/17/20 09:36:15,08/17/20 12:10:14,  2:33:59
2,SFPC018,NakatsukaMomoka,10,08/21/20 09:34:18,08/21/20 15:38:37,  6:04:19
3,SFPC018,takanoyuto,10,08/19/20 08:47:39,08/19/20 16:08:56,  7:21:17
4,SFPC018,yukakawamoto,10,08/19/20 12:46:01,08/21/20 14:18:19, 49:32:18
5,SFPC018,RinkaSasagawa,10,08/19/20 11:34:57,08/25/20 14:46:01,147:11:04
6,SFPC018,hosonuma,10,08/21/20 08:47:10,08/31/20 15:36:26,246:49:16
